Location name,Amount spent (JPY)
Aichi Prefecture,38885
Akita Prefecture,28506
Aomori Prefecture,2428
Chiba Prefecture,59807
Ehime Prefecture,35274
Fukui Prefecture,22162
Fukuoka Prefecture,121648
Fukushima Prefecture,3507
Gifu Prefecture,7006
Gunma Prefecture,7715
Hiroshima Prefecture,24202
Hokkaido,30815
Hyōgo Prefecture,30264
Ibaraki Prefecture,8082
Ishikawa Prefecture,4105
Iwate Prefecture,2654
Kagawa Prefecture,8117
Kagoshima Prefecture,10069
Kanagawa Prefecture,53866
Kumamoto Prefecture,9627
Kyoto Prefecture,85444
Kōchi Prefecture,1813
Mie Prefecture,28019
Miyagi Prefecture,7845
Miyazaki Prefecture,3554
Nagano Prefecture,39509
Nagasaki Prefecture,11940
Nara Prefecture,6466
Niigata Prefecture,6226
Okayama Prefecture,7207
Okinawa Prefecture,5001
Osaka Prefecture,231876
Saga Prefecture,4017
Saitama Prefecture,38126
Shiga Prefecture,6794
Shimane Prefecture,6547
Shizuoka Prefecture,11132
Tochigi Prefecture,33114
Tokushima Prefecture,2534
Tokyo,105540
Tottori Prefecture,951
Toyama Prefecture,3119
Unknown,≤100
Wakayama Prefecture,8190
Yamagata Prefecture,22014
Yamaguchi Prefecture,4274
Yamanashi Prefecture,2968
Ōita Prefecture,13993
