Location name,Amount spent (AUD)
Australian Capital Territory,1025
Jervis Bay Territory,≤100
New South Wales,16852
Norfolk Island,≤100
Northern Territory,390
Queensland,11395
South Australia,3766
Tasmania,1844
Unknown,≤100
Victoria,20413
Western Australia,6186
