Location name,Amount spent (PYG)
Alto Paraguay Department,10734
Alto Paraná Department,1275864
Amambay Department,517864
Asunción,1536117
Boquerón department,56738
Caaguazú Department,458427
Caazapá Department,94551
Canindeyú Department,110236
Central Department,4283780
Concepción Department (Paraguay),194540
Cordillera Department,263305
Guairá Department,100681
Itapúa Department,537814
Misiones Department,187108
Paraguarí Department,139368
Presidente Hayes Department,93664
San Pedro Department,192674
Unknown,740
Ñeembucú Department,73830
