Location name,Amount spent (MYR)
Johor,1226
Kedah,678
Kelantan,411
Kuala Lumpur,1769
Labuan,≤100
Malacca,385
Negeri Sembilan,497
Pahang,511
Penang,554
Perak,839
Perlis,154
Putrajaya,≤100
Sabah,787
Sarawak,1016
Selangor,2636
Terengganu,578
Unknown,≤100
