Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
142682279138433,Gaspar Tchanja K.Chingando,Gaspar Tchanja K.Chingando,2051,2
107801918890922,Masfamu Angola,Masfamu Angola,1538,2
101014586118927,Apkshop,Graciete De Carvalho Faustino,815,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,544,2
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,1
1669288836550501,Christian Kumakinga,These ads ran without a disclaimer,≤100,2
114629281258109,forjandoahonra,These ads ran without a disclaimer,≤100,1
469201610080869,Binance,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
100235755485045,Defesa Africana,These ads ran without a disclaimer,≤100,1
198454000189884,REW.ca,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,3
