Location name,Amount spent (UYU)
Artigas Department,173
Canelones Department,978
Cerro Largo Department,193
Colonia Department,332
Durazno Department,104
Flores Department,≤100
Florida Department,134
Lavalleja Department,111
Maldonado Department,480
Montevideo Department,4129
Paysandú Department,2203
Rivera Department,867
Rocha Department,134
Río Negro Department,132
Salto Department,506
San José Department,177
Soriano Department,164
Tacuarembó Department,194
Treinta y Tres Department,117
Unknown,≤100
