Location name,Amount spent (PYG)
Alto Paraguay Department,68836
Alto Paraná Department,6780532
Amambay Department,840557
Asunción,6704568
Boquerón department,284237
Caaguazú Department,2364036
Caazapá Department,529037
Canindeyú Department,733905
Central Department,15677048
Concepción Department (Paraguay),1062775
Cordillera Department,1551921
Guairá Department,1058590
Itapúa Department,2593184
Misiones Department,1163711
Paraguarí Department,845860
Presidente Hayes Department,676203
San Pedro Department,1064749
Unknown,2909
Ñeembucú Department,716042
