Location name,Amount spent (ARS)
Buenos Aires,2391559
Catamarca,36613
Chaco,75618
Chubut,41014
Ciudad Autónoma de Buenos Aires,540917
Corrientes,27369
Córdoba,2353313
Entre Rios,160913
Formosa,16785
Jujuy,36240
La Pampa,125605
La Rioja,12912
Mendoza,72678
Misiones,38727
Neuquén,464750
Río Negro,110078
Salta,271745
San Juan,127685
San Luis,63694
Santa Cruz,7143
Santa Fe,522034
Santiago del Estero,14327
Tierra del Fuego,69892
Tucuman,79073
Unknown,≤100
