Location name,Amount spent (INR)
Andaman and Nicobar Islands,406
Andhra Pradesh,40084
Arunachal Pradesh,3334
Assam,56779
Bihar,181562
Chandigarh,1790
Chhattisgarh,35018
Dadra and Nagar Haveli,2390
Delhi,37294
Goa,5428
Gujarat,82201
Haryana,54070
Himachal Pradesh,21728
Jammu and Kashmir,23904
Jharkhand,39932
Karnataka,115991
Kerala,24933
Lakshadweep,≤100
Madhya Pradesh,89418
Maharashtra,139254
Manipur,4536
Meghalaya,101240
Mizoram,1416
Nagaland,2201
Odisha,33214
Puducherry,2503
Punjab region,46688
Rajasthan,234058
Sikkim,1990
Tamil Nadu,69994
Telangana,37022
Tripura,12145
Unknown,≤100
Uttar Pradesh,187508
Uttarakhand,24646
West Bengal,111043
