Location name,Amount spent (COP)
Amazonas,877
Antioquia,1003054
Arauca,5332
Atlantico,175809
Bolivar,106635
Boyaca,18198
Caldas,22409
Caqueta,58650
Casanare,7344
Cauca,64995
Cesar,27935
Choco,10654
Cordoba,31507
Cundinamarca,128663
Distrito Especial,2546245
Guainia,447
Guaviare,1261
Huila,192162
La Guajira,27718
Magdalena,109885
Meta,40604
Narino,42852
Norte de Santander,33245
Putumayo,14227
Quindio,17730
Risaralda,96620
San Andres y Providencia,1516
Santander,78377
Sucre,28883
Tolima,32473
Unknown,≤100
Valle del Cauca,264322
Vaupes,183
Vichada,343
