Location name,Amount spent (USD)
Azuay Province,482
Bolívar Province,115
Carchi Province,122
Cañar Province,141
Chimborazo Province,710
Cotopaxi Province,179
El Oro Province,581
Esmeraldas Province,265
Galápagos Province,≤100
Guayas Province,2740
Imbabura Province,252
Loja Province,284
Los Ríos Province,564
Manabí Province,1025
Morona-Santiago Province,168
Napo Province,≤100
Orellana Province,141
Pastaza Province,124
Pichincha Province,1594
Santa Elena Province,445
Santo Domingo de los Tsáchilas Province,293
Sucumbíos Province,116
Tungurahua Province,571
Unknown,≤100
Zamora-Chinchipe Province,119
