Location name,Amount spent (VND)
An Giang Province,73974
Bà Rịa–Vũng Tàu Province,88943
Bình Dương Province,233139
Bình Phước Province,92172
Bình Thuận Province,124204
Bình Định Province,146669
Bạc Liêu Province,38075
Bắc Giang Province,405762
Bắc Kạn Province,53723
Bắc Ninh Province,267631
Bến Tre Province,44512
Cao Bằng Province,96727
Cà Mau Province,71469
Cần Thơ,31067
Da Nang,514518
Gia Lai Province,124319
Haiphong,544818
Ho Chi Minh City,1793626
Hà Giang Province,95608
Hà Nam Province,105080
Hà Tĩnh Province,234803
Hòa Bình Province,129655
Hưng Yên Province,154954
Hải Dương Province,314143
Hậu Giang Province,21098
Khánh Hòa Province,167256
Kiên Giang Province,92930
Kon Tum Province,53255
Lai Châu Province,21146
Long An Province,115446
Lào Cai Province,60529
Lâm Đồng Province,164142
Lạng Sơn Province,134343
Nam Định Province,174676
Nghệ An Province,601688
Ninh Bình Province,121469
Ninh Thuận Province,34496
Phú Thọ Province,246211
Phú Yên Province,70870
Quảng Bình Province,142490
Quảng Nam Province,175163
Quảng Ngãi Province,157223
Quảng Ninh Province,236614
Quảng Trị Province,93306
Sóc Trăng Province,59670
Sơn La Province,117098
Thanh Hóa Province,461517
Thái Bình Province,213227
Thái Nguyên Province,201019
Thừa Thiên–Huế Province,184232
Tiền Giang Province,71271
Trà Vinh Province,31851
Tuyên Quang Province,210602
Tây Ninh Province,126185
Unknown,≤100
Vĩnh Long Province,55359
Vĩnh Phúc Province,221652
Yên Bái Province,133767
Điện Biên Province,119776
Đắk Lắk Province,217821
Đắk Nông Province,96514
Đồng Nai Province,300071
Đồng Tháp Province,36900
