Location name,Amount spent (AUD)
Australian Capital Territory,1297
Jervis Bay Territory,≤100
New South Wales,62694
Norfolk Island,≤100
Northern Territory,448
Queensland,11818
South Australia,3890
Tasmania,2053
Unknown,≤100
Victoria,13229
Western Australia,5843
