Location name,Amount spent (EUR)
Alsace,760
Aquitaine,1471
Auvergne,433
Basse-Normandie,499
Bourgogne,703
Bretagne,1240
Centre,920
Champagne-Ardenne,451
Corse,202
Franche-Comté,428
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,744
Languedoc-Roussillon,1298
Limousin,252
Lorraine,832
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1118
New Caledonia,≤100
Nord-Pas-de-Calais,1446
Pays de la Loire,1360
Picardie,625
Poitou-Charentes,660
Provence-Alpes-Côte d'Azur,2661
Reunion Island,184
Rhône-Alpes,2554
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,6739
