Location name,Amount spent (MXN)
Aguascalientes,21353
Baja California,63609
Baja California Sur,18311
Campeche,21653
Chiapas,40107
Chihuahua,59855
Coahuila de Zaragoza,47750
Colima,12048
Distrito Federal,252687
Durango,20637
Guanajuato,63638
Guerrero,23718
Hidalgo,17850
Jalisco,154339
Michoacán de Ocampo,58111
Morelos,36566
Nayarit,11381
Nuevo León,122615
Oaxaca,32627
Puebla,99326
Querétaro Arteaga,46681
Quintana Roo,82164
San Luis Potosi,32928
Sinaloa,35112
Sonora,55605
State of Mexico,138343
Tabasco,17030
Tamaulipas,53813
Tlaxcala,8395
Unknown,≤100
Veracruz,82615
Yucatán,54080
Zacatecas,15153
