Location name,Amount spent (JPY)
Aichi Prefecture,9823
Akita Prefecture,906
Aomori Prefecture,1817
Chiba Prefecture,7766
Ehime Prefecture,1617
Fukui Prefecture,991
Fukuoka Prefecture,28917
Fukushima Prefecture,2223
Gifu Prefecture,2844
Gunma Prefecture,2129
Hiroshima Prefecture,3246
Hokkaido,6931
Hyōgo Prefecture,7855
Ibaraki Prefecture,3530
Ishikawa Prefecture,1284
Iwate Prefecture,1171
Kagawa Prefecture,1548
Kagoshima Prefecture,2351
Kanagawa Prefecture,15725
Kumamoto Prefecture,4450
Kyoto Prefecture,4208
Kōchi Prefecture,989
Mie Prefecture,2129
Miyagi Prefecture,7583
Miyazaki Prefecture,1358
Nagano Prefecture,2638
Nagasaki Prefecture,2903
Nara Prefecture,2099
Niigata Prefecture,2284
Okayama Prefecture,2045
Okinawa Prefecture,3441
Osaka Prefecture,14305
Saga Prefecture,1935
Saitama Prefecture,9239
Shiga Prefecture,1852
Shimane Prefecture,755
Shizuoka Prefecture,5177
Tochigi Prefecture,1747
Tokushima Prefecture,998
Tokyo,127803
Tottori Prefecture,539
Toyama Prefecture,1317
Unknown,1910
Wakayama Prefecture,1390
Yamagata Prefecture,1282
Yamaguchi Prefecture,1600
Yamanashi Prefecture,1065
Ōita Prefecture,2491
