Location name,Amount spent (ISK)
Capital Region,48566
Eastern Region,3151
Northeastern Region,7718
Northwestern Region,1338
Southern Peninsula,5101
Southern Region,5354
Unknown,≤100
Western Region,1526
Westfjords,1525
