Location name,Amount spent (COP)
Amazonas,2440
Antioquia,8663664
Arauca,31876
Atlantico,889811
Bolivar,930895
Boyaca,445262
Caldas,640607
Caqueta,203242
Casanare,270526
Cauca,425727
Cesar,240209
Choco,88723
Cordoba,660616
Cundinamarca,1400225
Distrito Especial,4678861
Guainia,9094
Guaviare,56100
Huila,863535
La Guajira,174214
Magdalena,329774
Meta,644076
Narino,381202
Norte de Santander,1797844
Putumayo,171976
Quindio,178990
Risaralda,980251
San Andres y Providencia,17774
Santander,2178148
Sucre,462458
Tolima,487594
Unknown,577
Valle del Cauca,4769082
Vaupes,629
Vichada,1259
