Location name,Amount spent (TND)
Ariana Governorate,183
Ben Arous Governorate,257
Bizerte Governorate,197
Béja Governorate,≤100
Gabès Governorate,151
Gafsa Governorate,114
Jendouba Governorate,≤100
Kairouan Governorate,118
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,106
Mahdia Governorate,119
Manouba Governorate,≤100
Medenine Governorate,205
Monastir Governorate,238
Nabeul Governorate,342
Sfax,431
Sidi Bouzid Governorate,≤100
Siliana Governorate,≤100
Sousse Governorate,311
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,801
Unknown,≤100
Zaghouan Governorate,≤100
