Location name,Amount spent (ZAR)
Eastern Cape,2217
Free State,793
Gauteng,4786
KwaZulu-Natal,1779
Limpopo,1294
Mpumalanga,1349
North West,711
Northern Cape,216
Unknown,≤100
Western Cape,4078
