Location name,Amount spent (DKK)
Capital Region of Denmark,65880
Central Denmark Region,44873
Faroe Islands,194
Greenland,≤100
North Denmark Region,16472
Region of Southern Denmark,35221
Unknown,≤100
Zealand Region,23355
