Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
108136530968730,おねがい社長！,These ads ran without a disclaimer,604760,45
265075920177069,陸上自衛隊 Japan Ground Self-Defense Force,陸上自衛隊 Japan Ground Self-Defense Force,160267,39
110058508784307,ライズ・アップ・ジャパン,株式会社経営科学出版,102391,11
1904070096535109,スマート選挙,株式会社センキョ,55640,12
172980666081766,Seminars セミナーズ,These ads ran without a disclaimer,39410,1
101973635470022,大丸・松坂屋 Think GREEN,These ads ran without a disclaimer,25903,1
110284292010391,オリックス・クレジット株式会社,These ads ran without a disclaimer,19682,1
684161888345926,西日本新聞me,西日本新聞me,18351,21
651455718373362,ハイクラスに特化した転職支援『転機』,These ads ran without a disclaimer,17130,1
425742864543901,GMOあおぞらネット銀行,These ads ran without a disclaimer,13566,2
113459921370251,Misosoooup,These ads ran without a disclaimer,13148,4
108437581751884,Nurse navi,These ads ran without a disclaimer,12618,1
148562291987208,ザ・ホワイトデンタルクリニック,These ads ran without a disclaimer,12588,8
116579121485797,東京都 最新の株式情報,These ads ran without a disclaimer,12011,1
298060150283457,大分県日出町,大分県日出町,10984,22
208661552479830,日本財団,日本財団,10771,1
113281091389397,Yukincooo,These ads ran without a disclaimer,9966,3
111355778230463,Foonケアワーカー訪問看護事業部,These ads ran without a disclaimer,8866,1
118265307941993,大森ひこいち（大森彦一）おしの再起動！,大森ひこいち,8594,3
140618006024953,東日本医療専門学校,These ads ran without a disclaimer,8169,1
101289366621166,大和ハウスグループ,These ads ran without a disclaimer,7599,4
281777375260988,オッズパーク,These ads ran without a disclaimer,7400,1
173291492700083,Ｚ会,These ads ran without a disclaimer,7362,1
105253475603201,国学院大学北海道短期大学部,国学院大学北海道短期大学部,7085,4
112033525293553,saitama_s.f,These ads ran without a disclaimer,6750,1
115411928125206,群馬県選挙管理委員会,群馬県選挙管理委員会,5787,1
102468941548369,宮城県民共済,宮城県民共済,5337,3
104159619344078,Shopsuqiogood-3,These ads ran without a disclaimer,3560,4
202026293187145,鯖江市地域活性化プランコンテスト,特定非営利活動法人エル・コミュニティ,3249,1
231714123553902,株式会社アスマーク,株式会社アスマーク,3103,1
195088317190451,グリーンピース・ジャパン,一般社団法人グリーンピース・ジャパン,2740,2
1850490095242229,武田塾 クルイトグループ,These ads ran without a disclaimer,2488,2
676873696061766,ブレインコントロールコーチ　荒井隆秀,ブレインコントロールコーチ　荒井隆秀,2076,1
100140329094518,ロータリーハウス不動産,These ads ran without a disclaimer,1997,1
101331258161815,Candlelight Concerts by Fever,These ads ran without a disclaimer,1589,1
106781255766201,ザ・ホワイト　デンタルクリニック,These ads ran without a disclaimer,1393,1
1533019990326941,縁結び,These ads ran without a disclaimer,1156,1
104533215755145,ZOE_Japan,ZOE Japan,1077,1
183768428314416,女性社長.net （joseishacho.net）,These ads ran without a disclaimer,1051,1
414756385218124,関西NGO協議会/Kansai NGO Council,特定非営利活動法人関西NGO協議会,857,1
448509025311887,株式会社サンクスホーム,These ads ran without a disclaimer,855,1
113154441705767,不動産aiチャット-不動産のAIアシスタント,These ads ran without a disclaimer,701,1
669110816559933,株式会社AS IT IS,These ads ran without a disclaimer,690,1
1621936421357167,藤崎町観光情報サイト ふじさんぽ,株式会社コンシス,651,1
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,577,1
1566073946957306,衆議院議員 さかい学 （横浜市戸塚区・泉区・瀬谷区）,自由民主党神奈川県第五選挙区支部（衆議院議員さかい学事務所）,549,1
128455130600150,日本成人病予防協会,These ads ran without a disclaimer,477,1
105113138732076,吉岡マネジメントグループ,These ads ran without a disclaimer,429,1
111628957686367,Masaboooo,These ads ran without a disclaimer,261,1
1812425055659979,介護ワーカー,These ads ran without a disclaimer,216,1
676655469036670,松下政経塾,松下政経塾,182,1
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100,1
1671853216366712,東こう史ひろ,東こう史ひろ,≤100,1
536262416434799,NewsPicks（ニューズピックス）,These ads ran without a disclaimer,≤100,1
256504371891671,the-issues.jp,the-issues.jp,≤100,5
1829739953777670,吉田学園入学相談室,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,2
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,2
112589195019287,Enjoy the Moment,These ads ran without a disclaimer,≤100,2
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100,1
2079497235397580,עופר גולדשטיין רואי חשבון - מיסוי בינלאומי,These ads ran without a disclaimer,≤100,1
108595372001165,Mega Fun,These ads ran without a disclaimer,≤100,1
104002928883686,Somatic Institute For Women,These ads ran without a disclaimer,≤100,1
101416621941097,w.stylengracemj,These ads ran without a disclaimer,≤100,1
615040838898606,Angry Birds Dream Blast,These ads ran without a disclaimer,≤100,1
