Location name,Amount spent (AUD)
Australian Capital Territory,1047
Jervis Bay Territory,≤100
New South Wales,18843
Norfolk Island,≤100
Northern Territory,369
Queensland,8263
South Australia,2543
Tasmania,951
Unknown,≤100
Victoria,10112
Western Australia,4278
