Location name,Amount spent (USD)
Azuay Province,337
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,112
Chimborazo Province,175
Cotopaxi Province,151
El Oro Province,610
Esmeraldas Province,247
Galápagos Province,≤100
Guayas Province,3350
Imbabura Province,226
Loja Province,221
Los Ríos Province,713
Manabí Province,961
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1832
Santa Elena Province,229
Santo Domingo de los Tsáchilas Province,281
Sucumbíos Province,103
Tungurahua Province,299
Unknown,≤100
Zamora-Chinchipe Province,108
