Location name,Amount spent (USD)
Azuay Province,1316
Bolívar Province,269
Carchi Province,222
Cañar Province,261
Chimborazo Province,484
Cotopaxi Province,402
El Oro Province,844
Esmeraldas Province,570
Galápagos Province,≤100
Guayas Province,4278
Imbabura Province,516
Loja Province,631
Los Ríos Province,1091
Manabí Province,1741
Morona-Santiago Province,287
Napo Province,207
Orellana Province,125
Pastaza Province,228
Pichincha Province,2615
Santa Elena Province,671
Santo Domingo de los Tsáchilas Province,966
Sucumbíos Province,180
Tungurahua Province,433
Unknown,≤100
Zamora-Chinchipe Province,117
