Location name,Amount spent (CAD)
Alberta,6573
British Columbia,9003
Manitoba,4893
New Brunswick,1165
Newfoundland and Labrador,1239
Northwest Territories,198
Nova Scotia,1995
Nunavut,158
Ontario,31223
Prince Edward Island,244
Quebec,12758
Saskatchewan,2139
Unknown,≤100
Yukon,148
