Location name,Amount spent (MXN)
Aguascalientes,9231
Baja California,16862
Baja California Sur,8300
Campeche,16462
Chiapas,14656
Chihuahua,23880
Coahuila de Zaragoza,76980
Colima,7535
Distrito Federal,127552
Durango,5438
Guanajuato,55148
Guerrero,8888
Hidalgo,8651
Jalisco,119963
Michoacán de Ocampo,25023
Morelos,9811
Nayarit,3252
Nuevo León,114666
Oaxaca,12314
Puebla,20868
Querétaro Arteaga,27706
Quintana Roo,20564
San Luis Potosi,14290
Sinaloa,9260
Sonora,17970
State of Mexico,90443
Tabasco,9244
Tamaulipas,23858
Tlaxcala,4242
Unknown,≤100
Veracruz,24005
Yucatán,19472
Zacatecas,5114
