Location name,Amount spent (PYG)
Alto Paraguay Department,63295
Alto Paraná Department,5886961
Amambay Department,851951
Asunción,6499116
Boquerón department,282606
Caaguazú Department,2279304
Caazapá Department,477323
Canindeyú Department,714712
Central Department,15691062
Concepción Department (Paraguay),894651
Cordillera Department,1294986
Guairá Department,762451
Itapúa Department,2396813
Misiones Department,1050314
Paraguarí Department,769009
Presidente Hayes Department,645293
San Pedro Department,977458
Unknown,7759
Ñeembucú Department,533543
