Location name,Amount spent (EGP)
Al Sharqia Governorate,1192
Alexandria Governorate,1328
Aswan Governorate,198
Asyut Governorate,539
Beheira Governorate,727
Beni Suef Governorate,317
Cairo Governorate,4332
Dakahlia Governorate,1317
Damietta Governorate,392
Faiyum Governorate,286
Gharbia Governorate,1044
Giza Governorate,1193
Ismailia Governorate,294
Kafr el-Sheikh Governorate,605
Luxor Governorate,132
Matrouh Governorate,≤100
Minya Governorate,757
Monufia Governorate,614
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,272
Qalyubia Governorate,844
Qena Governorate,310
Red Sea Governorate,127
Sohag Governorate,487
South Sinai Governorate,≤100
Suez Governorate,140
Unknown,≤100
