Location name,Amount spent (TRY)
Adana Province,4399
Adıyaman Province,275
Afyonkarahisar Province,1454
Aksaray Province,659
Amasya Province,268
Ankara Province,9918
Antalya Province,6602
Ardahan Province,≤100
Artvin Province,253
Aydın Province,2814
Ağrı Province,254
Balıkesir Province,2520
Bartın Province,202
Batman Province,289
Bayburt Province,≤100
Bilecik Province,277
Bingöl Province,126
Bitlis Province,111
Bolu Province,401
Burdur Province,342
Bursa Province,7248
Denizli Province,1768
Diyarbakır Province,884
Düzce Province,2720
Edirne Province,678
Elazığ Province,386
Erzincan Province,163
Erzurum Province,1160
Eskişehir Province,1369
Gaziantep Province,2592
Giresun Province,1434
Gümüşhane Province,109
Hakkâri Province,≤100
Hatay Province,1243
Isparta Province,846
Istanbul Province,27938
Iğdır Province,136
Kahramanmaraş Province,854
Karabük Province,330
Karaman Province,611
Kars Province,205
Kastamonu Province,3034
Kayseri Province,3483
Kilis Province,109
Kocaeli Province,1670
Konya Province,3318
Kütahya Province,1228
Kırklareli Province,336
Kırıkkale Province,668
Kırşehir Province,1830
Malatya Province,502
Manisa Province,2254
Mardin Province,416
Mersin Province,4088
Muğla Province,839
Muş Province,107
Nevşehir Province,482
Niğde Province,1188
Ordu Province,1401
Osmaniye Province,2974
Rize Province,507
Sakarya Province,1106
Samsun Province,2997
Siirt Province,102
Sinop Province,400
Sivas Province,800
Tekirdağ Province,1976
Tokat Province,702
Trabzon Province,2195
Tunceli Province,≤100
Unknown,≤100
Uşak Province,2081
Van Province,312
Yalova Province,623
Yozgat Province,433
Zonguldak Province,1938
Çanakkale Province,981
Çankırı Province,439
Çorum Province,1380
İzmir Province,5982
Şanlıurfa Province,1157
Şırnak Province,182
