Location name,Amount spent (EGP)
Al Sharqia Governorate,3337
Alexandria Governorate,4094
Aswan Governorate,571
Asyut Governorate,1239
Beheira Governorate,2026
Beni Suef Governorate,835
Cairo Governorate,7762
Dakahlia Governorate,3641
Damietta Governorate,1108
Faiyum Governorate,859
Gharbia Governorate,2743
Giza Governorate,2170
Ismailia Governorate,1156
Kafr el-Sheikh Governorate,1618
Luxor Governorate,369
Matrouh Governorate,269
Minya Governorate,1304
Monufia Governorate,2314
New Valley Governorate,140
North Sinai Governorate,277
Port Said Governorate,600
Qalyubia Governorate,2021
Qena Governorate,924
Red Sea Governorate,301
Sohag Governorate,1491
South Sinai Governorate,122
Suez Governorate,475
Unknown,≤100
