Location name,Amount spent (CLP)
Antofagasta Region,53901
Araucanía Region,84386
Arica y Parinacota Region,27941
Atacama Region,33645
Aysén Region,12646
Bío Bío Region,175713
Coquimbo Region,93375
Los Lagos Region,61645
Los Ríos Region,27283
Magallanes y la Antártica Chilena Region,14150
Maule Region,68684
O'Higgins Region,53437
Santiago Metropolitan Region,722740
Tarapacá Region,29865
Unknown,≤100
Valparaíso Region,145478
