Location name,Amount spent (EGP)
Al Sharqia Governorate,2713
Alexandria Governorate,707
Aswan Governorate,128
Asyut Governorate,369
Beheira Governorate,461
Beni Suef Governorate,195
Cairo Governorate,2074
Dakahlia Governorate,1032
Damietta Governorate,259
Faiyum Governorate,200
Gharbia Governorate,832
Giza Governorate,642
Ismailia Governorate,448
Kafr el-Sheikh Governorate,445
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,364
Monufia Governorate,407
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,146
Qalyubia Governorate,857
Qena Governorate,233
Red Sea Governorate,≤100
Sohag Governorate,384
South Sinai Governorate,≤100
Suez Governorate,≤100
