Location name,Amount spent (NIO)
Carazo Department,≤100
Chinandega Department,≤100
Granada Department,≤100
Jinotega Department,≤100
León Department,≤100
Madriz Department,≤100
Managua Department,≤100
Matagalpa Department,≤100
Región Autónoma del Atlántico Norte,≤100
Rivas Department,≤100
Río San Juan Department,≤100
