Location name,Amount spent (GTQ)
Alta Verapaz Department,671
Baja Verapaz Department,187
Chimaltenango Department,540
Chiquimula Department,523
El Progreso Department,172
Escuintla Department,821
Guatemala Department,10227
Huehuetenango Department,726
Izabal Department,545
Jalapa Department,245
Jutiapa Department,403
Petén Department,427
Quetzaltenango Department,1188
Quiché Department,504
Retalhuleu Department,349
Sacatepéquez Department,622
San Marcos Department,1630
Santa Rosa Department,297
Sololá Department,418
Suchitepéquez Department,446
Totonicapán Department,278
Unknown,≤100
Zacapa Department,260
