Location name,Amount spent (THB)
Amnat Charoen,210
Ang Thong,127
Ayutthaya,1505
Bangkok,35721
Bueng Kan,169
Buriram,615
Chachoengsao,2453
Chai Nat,2047
Chaiyaphum,1115
Chanthaburi,307
Chiang Mai,1859
Chiang Rai,861
Chon Buri,13859
Chumphon,1770
Kalasin,448
Kamphaeng Phet,537
Kanchanaburi,690
Khon Kaen,2131
Krabi,1190
Lampang,481
Lamphun,274
Loei,293
Lop Buri,293
Mae Hong Son,299
Maha Sarakham,583
Mukdahan,222
Nakhon Nayok,956
Nakhon Pathom,2168
Nakhon Phanom,305
Nakhon Ratchasima,1830
Nakhon Sawan,782
Nakhon Si Thammarat,2787
Nan,344
Narathiwat,837
Nong Bua Lam Phu,265
Nong Khai,321
Nonthaburi,1278
Pathum Thani,1522
Pattani,472
Phangnga,380
Phatthalung,1173
Phayao,362
Phetchabun,322
Phetchaburi,542
Phichit,756
Phitsanulok,4170
Phrae,242
Phuket,34722
Prachin Buri,322
Prachuap Khiri Khan,374
Ranong,449
Ratchaburi,1062
Rayong,1320
Roi Et,546
Sa Kaeo,239
Sakon Nakhon,541
Samut Prakan,4482
Samut Sakhon,1740
Samut Songkhram,918
Saraburi,468
Satun,453
Sing Buri,252
Sisaket,583
Songkhla,10353
Sukhothai,833
Suphan Buri,699
Surat Thani,16259
Surin,764
Tak,338
Trang,909
Trat,101
Ubon Ratchathani,1132
Udon Thani,968
Unknown,≤100
Uthai Thani,162
Uttaradit,242
Yala Province,399
Yasothon,338
