Location name,Amount spent (JPY)
Aichi Prefecture,79147
Akita Prefecture,2347
Aomori Prefecture,1931
Chiba Prefecture,13345
Ehime Prefecture,2679
Fukui Prefecture,2064
Fukuoka Prefecture,39174
Fukushima Prefecture,3256
Gifu Prefecture,4049
Gunma Prefecture,3571
Hiroshima Prefecture,5744
Hokkaido,10959
Hyōgo Prefecture,14509
Ibaraki Prefecture,6027
Ishikawa Prefecture,2715
Iwate Prefecture,2229
Kagawa Prefecture,2196
Kagoshima Prefecture,3178
Kanagawa Prefecture,25075
Kumamoto Prefecture,4580
Kyoto Prefecture,6776
Kōchi Prefecture,1143
Mie Prefecture,3555
Miyagi Prefecture,12311
Miyazaki Prefecture,2454
Nagano Prefecture,4745
Nagasaki Prefecture,6036
Nara Prefecture,2981
Niigata Prefecture,3721
Okayama Prefecture,6087
Okinawa Prefecture,7025
Osaka Prefecture,26945
Saga Prefecture,3561
Saitama Prefecture,13295
Shiga Prefecture,3059
Shimane Prefecture,1445
Shizuoka Prefecture,9427
Tochigi Prefecture,3473
Tokushima Prefecture,1564
Tokyo,60722
Tottori Prefecture,1033
Toyama Prefecture,1760
Unknown,≤100
Wakayama Prefecture,2260
Yamagata Prefecture,2087
Yamaguchi Prefecture,3728
Yamanashi Prefecture,2219
Ōita Prefecture,3055
