Location name,Amount spent (TWD)
Changhua,13511
Chiayi,3041
Hsinchu,5694
Hsinchu City,9092
Hualien,3984
Kaohsiung,42625
Keelung City,4697
Kinmen,783
Lienchiang,≤100
Miaoli,6164
Nantou,5329
New Taipei City,62429
Penghu,1115
Pingtung,8380
Taichung,46884
Tainan,27736
Taipei,46373
Taitung,2429
Taoyuan City,40094
Unknown,5335
Yilan,4295
Yunlin,7508
