Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,413
Basra Governorate,184
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,134
Erbil Governorate,267
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,106
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,129
Saladin Governorate,≤100
Sulaymaniyah Governorate,266
Unknown,≤100
Wasit Governorate,≤100
