Location name,Amount spent (MXN)
Aguascalientes,15912
Baja California,63860
Baja California Sur,9133
Campeche,19398
Chiapas,81026
Chihuahua,43840
Coahuila de Zaragoza,45989
Colima,10023
Distrito Federal,189443
Durango,15597
Guanajuato,73979
Guerrero,40579
Hidalgo,23109
Jalisco,143188
Michoacán de Ocampo,58922
Morelos,33040
Nayarit,10853
Nuevo León,139449
Oaxaca,47279
Puebla,69437
Querétaro Arteaga,38072
Quintana Roo,74441
San Luis Potosi,29122
Sinaloa,25325
Sonora,38357
State of Mexico,93309
Tabasco,24164
Tamaulipas,49594
Tlaxcala,10127
Unknown,≤100
Veracruz,65026
Yucatán,44790
Zacatecas,14478
