Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,399
Bangkok,8087
Bueng Kan,≤100
Buriram,258
Chachoengsao,151
Chai Nat,214
Chaiyaphum,128
Chanthaburi,101
Chiang Mai,410
Chiang Rai,162
Chon Buri,389
Chumphon,186
Kalasin,125
Kamphaeng Phet,≤100
Kanchanaburi,219
Khon Kaen,264
Krabi,246
Lampang,129
Lamphun,≤100
Loei,≤100
Lop Buri,114
Mae Hong Son,≤100
Maha Sarakham,135
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,283
Nakhon Phanom,≤100
Nakhon Ratchasima,407
Nakhon Sawan,165
Nakhon Si Thammarat,1549
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,627
Pathum Thani,416
Pattani,230
Phangnga,158
Phatthalung,316
Phayao,194
Phetchabun,115
Phetchaburi,362
Phichit,218
Phitsanulok,2174
Phrae,≤100
Phuket,1139
Prachin Buri,≤100
Prachuap Khiri Khan,168
Ranong,≤100
Ratchaburi,146
Rayong,171
Roi Et,188
Sa Kaeo,≤100
Sakon Nakhon,143
Samut Prakan,336
Samut Sakhon,243
Samut Songkhram,309
Saraburi,123
Satun,165
Sing Buri,≤100
Sisaket,239
Songkhla,1486
Sukhothai,≤100
Suphan Buri,608
Surat Thani,4909
Surin,330
Tak,≤100
Trang,197
Trat,≤100
Ubon Ratchathani,411
Udon Thani,206
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,112
Yasothon,263
