Location name,Amount spent (MYR)
Johor,1182
Kedah,536
Kelantan,278
Kuala Lumpur,1674
Labuan,≤100
Malacca,349
Negeri Sembilan,1416
Pahang,329
Penang,535
Perak,594
Perlis,≤100
Putrajaya,≤100
Sabah,527
Sarawak,601
Selangor,5138
Terengganu,321
Unknown,≤100
