Location name,Amount spent (GTQ)
Alta Verapaz Department,1030
Baja Verapaz Department,426
Chimaltenango Department,520
Chiquimula Department,279
El Progreso Department,289
Escuintla Department,320
Guatemala Department,4939
Huehuetenango Department,926
Izabal Department,523
Jalapa Department,268
Jutiapa Department,473
Petén Department,631
Quetzaltenango Department,2184
Quiché Department,627
Retalhuleu Department,435
Sacatepéquez Department,828
San Marcos Department,1998
Santa Rosa Department,503
Sololá Department,623
Suchitepéquez Department,694
Totonicapán Department,608
Unknown,≤100
Zacapa Department,319
