Location name,Amount spent (CZK)
Central Bohemian Region,12311
Hradec Králové Region,5888
Karlovy Vary Region,3457
Liberec Region,4852
Moravian-Silesian Region,12947
Olomouc Region,6415
Pardubice Region,5382
Plzeň Region,6767
Prague,27752
South Bohemian Region,9554
South Moravian Region,15309
Unknown,≤100
Vysočina Region,4507
Zlín Region,5697
Ústí nad Labem Region,9042
