Location name,Amount spent (NOK)
Akershus,5248
Aust-Agder,1063
Buskerud,2786
Finnmark,1312
Hedmark,1670
Hordaland,5913
Møre og Romsdal,2455
Nord-Trøndelag,1257
Nordland,2764
Oppland,1753
Oslo,12729
Rogaland,4373
Sogn og Fjordane,997
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,3854
Telemark,1898
Troms,2192
Unknown,≤100
Vest-Agder,2731
Vestfold,2494
Østfold,3328
