Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
131066326987,SP Kanton Zürich,SP Kanton Zürich,2111,21
102662476058956,Hans-Peter Amrein in den Regierungsrat,Hans-Peter Amrein in den Regierungsrat,1724,17
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,943,32
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,751,34
169510248558,Die Mitte - Le Centre,Die Mitte,589,20
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,517,66
154212901272905,FDP.Die Liberalen Baselland,FDP.Die Liberalen Baselland,454,101
970401509667271,Priska Seiler Graf - Nationalrätin,Priska Seiler Graf in den Regierungsrat,430,21
1903129656584980,SP Uster,SP Uster,423,7
583706025047684,Pierre Rappazzo in den Zürcher Kantonsrat,Pierre Rappazzo,374,6
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,333,88
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,308,14
108392832120312,Perspektive Zürich,Perspektive Zürich,296,29
170449246402589,Grünliberale Stadt Zürich,Grünliberale Partei Stadt Zürich,283,36
224581297586778,Gewerkschaftsbund des Kantons Zürich,Gewerkschaftsbund des Kantons Zürich,264,4
317591871730585,SVP Bezirk Meilen,Marc Michel Wachter,259,2
113035494739725,Simon Vlk,Simon Vlk,258,1
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,229,21
1959919117421939,FDP.Die Liberalen Bezirk Bülach,FDP.Die Liberalen Bezirk Bülach,227,6
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,203,3
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,194,6
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,191,3
450602808776880,Martin Neukom,Martin Neukom,180,5
610098352377102,Christian Pfaller,Komitee Christian Pfaller,167,57
194790813901953,Grüne Schweiz,Grüne Schweiz,158,1
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,153,7
106241572361769,Carmen Walker Späh FDP,Carmen Walker Späh,149,10
1722137767860098,Grüne Bülach,Grüne Bülach,121,26
97220294896,SP Schweiz,SP Schweiz,117,1
260591187302640,Parti socialiste genevois,Parti socialiste genevois,111,4
106020715591381,"Thomi Jourdan - Regierungsratskandidat Baselland - ""fürs Baselbiet vo morn""",Thomi Jourdan in den Regierungsrat,111,5
82752099000,Alternative Liste ZH,Alternative Liste Zürich,110,16
191136321464981,Die Mitte Stadt Winterthur,Die Mitte Stadt Winterthur,110,5
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,≤100,14
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,≤100,1
103082059271118,SP Bezirk Hinwil,SP Wetzikon,≤100,5
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,≤100,10
191438050875440,Die Mitte  Basel-Landschaft,Die Mitte  Basel-Landschaft,≤100,3
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100,1
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,12
108206818777404,Bezirksgewerbeverband Bülach,Bezirksgewerbeverband Bülach,≤100,24
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,≤100,2
105306632453966,Tobias Mäder,Tobias Mäder,≤100,5
101669982579717,Die Mitte Bezirk Uster,Die Mitte Bezirk Uster,≤100,9
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,16
259871484198551,Thomas Matter,Thomas Matter,≤100,2
324773857561365,Die Mitte Kanton Zürich,Die Mitte Kanton Zürich,≤100,4
109123788743774,Benjamin Frei,Benjamin Rolf Frei,≤100,1
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,≤100,6
109213507316253,SP Zürich 11,SP Zürich,≤100,14
231086633606227,SVP Baselland,SVP Baselland,≤100,294
161852057173460,SP Bezirk Affoltern,SP Bezirk Affoltern,≤100,19
119245155521044,Ylli Doko - Politiker - FDP Die.Liberalen,Ylli Doko,≤100,3
110151814882388,Benjamin Gautschi,Benjamin Gautschi,≤100,3
416743625125770,Grüne Zürichsee,GRÜNE Bezirk Meilen,≤100,3
110409811924321,Urs Christian Eugster FDP,Urs Christian Eugster,≤100,1
1225312564279075,Karin Fehr Thoma,Karin Fehr Thoma,≤100,2
105257442419923,Die Mitte Bezirk Bülach,Die Mitte Bezirk Bülach,≤100,5
155659847849677,Martin Huber in den Kantonsrat,Martin Huber in den Kantonsrat,≤100,4
170262515730,FDP.Die Liberalen Arlesheim,FDP.Die Liberalen Arlesheim,≤100,3
103440272521713,Sarah Fuchs in den Kantonsrat,Sarah Fuchs,≤100,28
1604136306538918,Marc Wachter,Marc Michel Wachter,≤100,2
1984141558513511,Franziska Barmettler,Franziska Barmettler,≤100,8
105190875802704,Thomas Noack,Schweizer und Noack in den Regierungsrat,≤100,1
375845269120737,FDP. Die Liberalen Dietikon,FDP. Die Liberalen Dietikon,≤100,5
109742838576665,Sandro Gerber - FDP.Die Liberalen - Kantonsratskandidat ZH 2023,sandrogerber,≤100,9
106254955524910,SVP Binningen,SVP Binningen,≤100,2
231320586878427,Hauseigentümerverband (HEV) Region Winterthur,Hauseigentümerverband Region Winterthur,≤100,2
102408406000910,Bürgerliche Allianz,Berchtold Marketing GmbH,≤100,5
106856564074635,Hansjörg Germann FDP in den Kantonsrat,Hansjörg Beat Germann,≤100,5
1464661227009326,SVP Bezirk Uster,SVP Bezirk Uster,≤100,6
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,≤100,4
111516028427691,Die Mitte Oberes Baselbiet,Die Mitte Oberes Baselbiet,≤100,7
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,≤100,8
1556534881244272,Grünliberale Bezirk Uster,Grünliberale Bezirk Uster,≤100,14
109469528675603,Philipp Egger,Philipp Egger,≤100,16
100489412910247,Nora Ernst - GLP,Nora Ernst - GLP,≤100,3
291359247729208,PS Suisse,PS Suisse,≤100,1
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100,4
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100,3
106264082355003,Sven Heinzelmann,Komitee «Sven Heinzelmann in den Kantonsrat»,≤100,3
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100,4
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
488909884546537,GLP Winterthur Land,GLP Winterthur Land,≤100,4
187828241245131,Grüne Baselland,Grüne Baselland,≤100,6
1764183190338571,SVP Kreis 3,Derek Richter,≤100,6
1607548886172610,Hans-Ulrich Bigler,Hans-Ulrich Bigler,≤100,1
156831187737967,JUSO Kanton Zürich,Jungsozialist*innen Kanton Zürich,≤100,9
154614821560013,FDP.Die Liberalen Uster,FDP Uster,≤100,1
100487835772742,Josef Widler in den Kantonsrat,Josef Widler,≤100,1
104203868811586,Martina Dürr,Martina Regula  Dürr,≤100,3
105268722430698,Philippe Guldin GLP,Grunliberale,≤100,3
1700824713324064,SP Zürich 10,SP Zürich 10,≤100,6
1476717905682561,SP Zürich 6,SP Zürich 6,≤100,5
651956578553145,"Marita Verbali, FDP",Marita Verbali,≤100,4
164288990272811,FDP Region Winterthur in den Zürcher Kantonsrat,FDP Region Winterthur in den Zürcher Kantonsrat,≤100,3
592045444309191,DIRECT NEWS by Michel Robadin,Michel François Robadin,≤100,1
103638965961747,Gabriel Mäder - Grünliberale,Gabriel Markus Mäder,≤100,1
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,≤100,1
100432824661437,Bettina Balmer FDP,Bettina Balmer,≤100,2
354548604968651,Peter Metzinger in den Kantonsrat,Peter Alois Metzinger,≤100,4
1582348792001263,SP 4&5 Zürich,SP Zürich 4 & 5,≤100,4
921336971288655,Nagra,Nagra,≤100,1
105221044343308,Baisse d'impôts pour tous,"Initiative ""Baisse d'impôts pour tous : redonner du pouvoir d'achat à la classe moyenne.""",≤100,1
360920524334417,Grünliberale Adliswil,Grünliberale Adliswil,≤100,1
108351771294208,Hubert Boog,Hubert Walter Boog,≤100,1
106615082184530,Raffael Grütter - GLP,Raffael Grütter,≤100,3
355645665140771,Nicola Forster,Nicola Forster,≤100,3
216444012216,EDU - UDF (Eidgenössisch-Demokratische Union),Eidgenössisch-Demokratische Union Schweiz,≤100,4
854141954663925,Isabel Garcia GLP,Isabel Garcia Brunisholz,≤100,2
2034886056799460,Raphael Tobler,Raphael Tobler,≤100,3
101012679501703,Stephan Siegel in den Landrat,Stephan Siegel in den Landrat,≤100,2
112662478341274,joelgretsch,Joel Gretsch,≤100,4
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100,9
103580977678645,Julian Croci,Julian Andrea Croci,≤100,2
157913284377979,POP Nyon - La Côte,POP Nyon - La Côte,≤100,3
169042736456594,All Out,All Out,≤100,2
993815333967102,Andreas Leupi,Andreas Patrick Leupi,≤100,3
1483343695307824,Campax,Campax,≤100,4
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,≤100,3
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,34
469738339721305,SP Zürich 3,Sozialdemokratische Partei Zürich 3,≤100,10
105386249047369,Jakob Ehrensperger,Jakob Ehrensperger,≤100,2
388815591176119,SP Zürich 9,SP Zürich,≤100,4
100345702834585,All Out Deutschland,All Out,≤100,2
206831926864378,SVP Gelterkinden und Umgebung,SVP Gelterkinden und Umgebung,≤100,4
110616465067898,Initiative Gesunde Jugend Jetzt,Die Junge Mitte Kanton Zürich,≤100,1
428690117258417,SVP des Kantons Zürich,SVP des Kantons Zürich,≤100,2
116063758043441,Facundo Zimmerli,Facundo Nahuel Zimmerli,≤100,1
110533229026103,EVP / PEV,EVP Schweiz,≤100,1
107145438948044,Dominique Zygmont in den Kantonsrat,Dominique Daniel Zygmont,≤100,1
755554214495636,Parti Socialiste Neuchâtelois,Parti socialiste neuchâtelois,≤100,1
619051955163582,AWOB - Adrian Wegmann Oberrieden,Adrian Wegmann,≤100,1
650175488441328,Martin Farner,Farners GmbH,≤100,1
109023033782956,Unisanté,Unisanté,≤100,1
589840718124415,Grünliberale Knonaueramt,Grünliberale Knonaueramt,≤100,7
657830007560468,SP Aesch-Pfeffingen,SP Aesch-Pfeffingen,≤100,3
106463701741400,Die Mitte Zürich 3+9,Die Mitte Zürich Kreis 3+9,≤100,1
265041068300,JUSO Baselland,JUSO Baselland,≤100,1
107717738487757,Viviane Kägi GLP,Viviane Kägi,≤100,1
285821738704789,Nathalie Aeschbacher,Nathalie Anna Aeschbacher,≤100,1
104942962435489,Sarah Regez,Sarah Regez,≤100,4
107515328348195,Michael Uebersax,Michael Stefan Uebersax,≤100,4
139890720097051,Die Mitte Muttenz,Die Mitte Muttenz,≤100,4
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,≤100,1
101767182105712,Grüne Bezirk Affoltern,GRÜNE Bezirk Affoltern,≤100,3
105380182425137,Michael Jäger,Hans Michael Jäger,≤100,1
198432937394181,Philipp Müller in den Kantonsrat,Philipp Müller,≤100,2
138345752891779,Grüne Liestal und Umgebung,These ads ran without a disclaimer,≤100,2
103215392637344,Robin Kuhn,Robin Jonas Kuhn,≤100,1
261452338060969,Domenik Lädi Ledergerber,Überparteiliches Unterstützungskomitee Domenik Ledergerber,≤100,3
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100,2
190285574861316,Grüne Uster,Grüne Bezirk Uster,≤100,1
100505278746845,Gesunde Finanzen,Organisation für gesunde Gemeindefinanzen,≤100,1
778855988853776,SP Allschwil-Schönenbuch,SP Allschwil Schönenbuch,≤100,7
102281186098428,Sara Sangiacomo,Rosaria Sangiacomo,≤100,1
110336161874621,Urban Husi in den Kantonsrat ZH,Urban Pius Matthäus Husi Fiechter,≤100,2
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,≤100,4
113189798267288,Karl Heinz Meyer Wahlkampf 2023,Karl Heinz Meyer,≤100,3
281675942494661,SVP Bezirk Pfäffikon ZH,SVP Bezirk Pfäffikon ZH,≤100,1
143714586302267,Urs Bänziger FDP,Urs Baenziger,≤100,1
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,≤100,4
591968957877984,Andrea Isler,Andrea Lara Isler,≤100,3
114998068149733,Dr. Stefan Meyer,Stefan Jörg Meyer,≤100,2
230522120377463,FDP Allschwil-Schönenbuch,FDP Allschwil-Schönenbuch,≤100,5
104530832464619,Mario Schwendener,Mario Schwendener,≤100,1
113273198762176,FDP.Die Liberalen Pratteln,FDP.Die Liberalen Pratteln,≤100,1
102269201722239,TV Riviera 24,Tv Riviera 24,≤100,2
136341053227140,EVP Winterthur,EVP Kanton Zürich,≤100,24
135939773133793,Grüne Winterthur,Grüne Winterthur,≤100,3
101292009486072,Simon Affentranger GLP,Simon Johannes Affentranger Jäger,≤100,1
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,≤100,1
60588234229,Gioventù Comunista Svizzera,Gioventù Comunista Svizzera,≤100,2
301243053989575,Mario Senn,Mario Senn,≤100,2
2011626645562796,Andri Silberschmidt,Komitee Andri Silberschmidt,≤100,1
205884466254019,Alexandra Pfister in der Politik,Alexandra Pfister-Nevrala,≤100,1
101500332827222,SVP Wahlkreis Sursee,SVP Wahlkreis Sursee,≤100,1
109228305112523,"Damian Schaller, Landratskandidat FDP Allschwil",FDP Allschwil-Schönenbuch,≤100,1
135366813191979,Urs Waser Kantonsrat,Waser Urs,≤100,1
110707875106219,SVP Bezirk Hinwil,SVP Bezirk Hinwil,≤100,1
122819208305170,Sauvegarde Genève,Sauvegarde Genève,≤100,1
864604443735247,SVP Bezirk Dietikon,SVP Bezirk Dietikon,≤100,1
108667862595190,Les Vert-e-s La Côte,Les Vert·e·s de La Côte,≤100,1
377292365618914,SVP Stadt Winterthur,SVP Winterthur,≤100,1
103234339054385,"Lea Van der Merwe, Einwohnerrätin Allschwil",FDP Allschwil-Schönenbuch,≤100,1
102531252603779,Stephan Jung,Stephan Jung,≤100,1
192244290829565,Anita Borer,Anita Borer,≤100,1
190133177759419,Giuseppe Cotti,These ads ran without a disclaimer,≤100,1
743745965833626,Benjamin Stricker,Benjamin Stricker,≤100,1
100160498946252,Grüne Volketswil,Grüne Bezirk Uster,≤100,1
108692711660498,Urs Wegmann,Urs Wegmann,≤100,2
205235402844715,SP Binningen,SP Binningen,≤100,3
1148594755342436,Saskia Schenker - Landrätin,FDP Sissach und Umgebung c/o Saskia Schenker,≤100,1
1464489323856911,FDP Zürich 2,These ads ran without a disclaimer,≤100,1
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100,7
904812763060757,Michael De Vita-Läubli,Michael De Vita-Läubli,≤100,1
109425352024980,Sebastian Hektor Vogel am 12. Februar 2023 in den Kantonsrat,DarkHorse,≤100,4
356407481399967,FDP.Die Liberalen Sissach und Umgebung,FDP Sissach und Umgebung,≤100,1
353969997649,Partito Comunista - Svizzera,Partito Comunista,≤100,2
276547049113405,SP Schaffhausen,SP Schaffhausen,≤100,3
608260099589519,Dominic Täubert,EVP Kanton Zürich,≤100,2
100420375365151,Pro Grolley,Pro Grolley,≤100,1
1462022710772147,Hans Egli,Hans Egli,≤100,1
471258816239362,Junge SVP Luzern,Junge SVP Luzern,≤100,2
580012422156679,Grüne Stadt Dübendorf,Grüne Stadt Dübendorf,≤100,1
218020061613734,UBS,These ads ran without a disclaimer,≤100,3
707321076049640,Monika Keller,Monika Keller,≤100,1
102833318045836,Nick Glättli,Nick Didier Glättli,≤100,3
103850865786634,Grünliberale Bezirk Hinwil,Grünliberale Bezirk Hinwil,≤100,1
100240749524401,Deborah Scharpf,Deborah Luzia Maryse Scharpf,≤100,1
238982909481105,Les Vert·e·s Genevois·es,Les Vert-e-s genevois-es,≤100,1
101759462695729,Seraina Billeter-Ihre Kandidatin,Seraina Sara Billeter,≤100,1
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,≤100,6
689505424449213,Jungfreisinnige Limmattal,Jungfreisinnige Limmattal,≤100,2
251838211585945,SP Basel-Stadt,SP Basel-Stadt,≤100,1
104937837702194,SP EVP GRÜNE für Gelterkinden,SP EVP GRÜNE für Gelterkinden,≤100,1
103814352620250,Wiadomość dnia,These ads ran without a disclaimer,≤100,1
101103429022118,Grüne Schlieren,Grüne Partei Schlieren,≤100,1
763722197034246,En Développement,These ads ran without a disclaimer,≤100,1
110838505070498,SVP Wädenswil,SVP Wädenswil,≤100,1
104484902120877,"Sebastian Hersberger, FDP Allschwil",FDP Allschwil-Schönenbuch,≤100,1
627220684023668,GRÜNE Zürich,Grüne Stadt Zürich,≤100,1
102853206050540,Aktualne programy,These ads ran without a disclaimer,≤100,1
167983071434,SP Kriens,SP Kriens,≤100,1
111011748401165,Washington Kane,These ads ran without a disclaimer,≤100,1
102832392688253,Southland 360,These ads ran without a disclaimer,≤100,1
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
124650430922882,Oulun yliopisto - University of Oulu,These ads ran without a disclaimer,≤100,1
