Location name,Amount spent (INR)
Andaman and Nicobar Islands,242
Andhra Pradesh,66948
Arunachal Pradesh,1056
Assam,13434
Bihar,44663
Chandigarh,3535
Chhattisgarh,35457
Dadra and Nagar Haveli,1241
Delhi,62058
Goa,3692
Gujarat,53517
Haryana,40530
Himachal Pradesh,12045
Jammu and Kashmir,6366
Jharkhand,13515
Karnataka,45684
Kerala,11469
Lakshadweep,≤100
Madhya Pradesh,63322
Maharashtra,138726
Manipur,366
Meghalaya,4031
Mizoram,559
Nagaland,626
Odisha,13857
Puducherry,4692
Punjab region,43772
Rajasthan,157525
Sikkim,1753
Tamil Nadu,106254
Telangana,67480
Tripura,2089
Unknown,≤100
Uttar Pradesh,100136
Uttarakhand,10447
West Bengal,64655
