Location name,Amount spent (MYR)
Johor,214
Kedah,156
Kelantan,≤100
Kuala Lumpur,324
Labuan,≤100
Malacca,≤100
Negeri Sembilan,≤100
Pahang,≤100
Penang,129
Perak,204
Perlis,≤100
Putrajaya,≤100
Sabah,148
Sarawak,148
Selangor,626
Terengganu,138
Unknown,≤100
