Location name,Amount spent (TRY)
Adana Province,746
Adıyaman Province,≤100
Afyonkarahisar Province,342
Aksaray Province,269
Amasya Province,≤100
Ankara Province,1973
Antalya Province,1520
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,332
Ağrı Province,≤100
Balıkesir Province,218
Bartın Province,103
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,110
Bursa Province,633
Denizli Province,414
Diyarbakır Province,≤100
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,549
Gaziantep Province,325
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,316
Isparta Province,180
Istanbul Province,11624
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,167
Kilis Province,≤100
Kocaeli Province,454
Konya Province,798
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,241
Mardin Province,≤100
Mersin Province,667
Muğla Province,518
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,272
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,378
Tokat Province,≤100
Trabzon Province,171
Tunceli Province,≤100
Unknown,≤100
Uşak Province,108
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1750
Şanlıurfa Province,143
Şırnak Province,≤100
