Location name,Amount spent (EGP)
Al Sharqia Governorate,3035
Alexandria Governorate,1032
Aswan Governorate,174
Asyut Governorate,386
Beheira Governorate,587
Beni Suef Governorate,281
Cairo Governorate,4114
Dakahlia Governorate,1151
Damietta Governorate,365
Faiyum Governorate,281
Gharbia Governorate,1629
Giza Governorate,1675
Ismailia Governorate,506
Kafr el-Sheikh Governorate,432
Luxor Governorate,126
Matrouh Governorate,≤100
Minya Governorate,525
Monufia Governorate,699
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,292
Qalyubia Governorate,983
Qena Governorate,293
Red Sea Governorate,103
Sohag Governorate,413
South Sinai Governorate,≤100
Suez Governorate,139
Unknown,≤100
