Location name,Amount spent (SEK)
Blekinge County,2433
Dalarna County,4853
Gotland County,1283
Gävleborg County,5254
Halland County,5137
Jämtland County,2355
Jönköping County,5842
Kalmar County,3787
Kronoberg County,2901
Norrbotten County,5420
Skåne County,23652
Stockholm County,51499
Södermanland County,5382
Unknown,≤100
Uppsala County,7489
Värmland County,4497
Västerbotten County,4780
Västernorrland County,4907
Västmanland County,4943
Västra Götaland County,31022
Örebro County,5033
Östergötland County,9363
