Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,29007,3
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,27610,19
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,6722,11
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,3226,20
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,3186,8
251656685576,KDU-ČSL,KDU-ČSL,3146,8
114474108677288,Martin Kuba,Martin Kuba,2913,3
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,2376,4
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,2166,6
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,2154,46
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,2143,6
1469427909957890,Reportér magazín,Reportér magazín,1868,4
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,1641,23
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1386,4
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1278,1
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1226,4
424114981002397,Český rozhlas Plus,Český rozhlas,1152,38
287724754662359,HateFree Culture,HateFree Culture,1029,5
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,918,6
102922224698466,Cizinec není otrok,Cizinec není otrok,916,1
356451014434612,Marian Jurečka,KDU-ČSL,853,5
52479821102,Týdeník Respekt,Týdeník Respekt,720,6
549810151781648,VŠB - Technická univerzita Ostrava,Vysoká škola báňská - Technická univerzita Ostrava,711,1
257529307701966,Jiří Pospíšil,TOP 09,707,5
111041662264882,ČSSD,ČSSD,702,4
460558621177512,Zálohujme.cz,Zálohujme,698,6
206284412716963,Plzeňský kraj,Plzeňský kraj,692,3
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,686,2
305608429284,EU Environment,These ads ran without a disclaimer,681,1
822146574595819,Agrární komora České republiky,Agrární komora České republiky,663,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",657,8
