Location name,Amount spent (UYU)
Artigas Department,127
Canelones Department,669
Cerro Largo Department,161
Colonia Department,246
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,333
Montevideo Department,4340
Paysandú Department,196
Rivera Department,386
Rocha Department,109
Río Negro Department,≤100
Salto Department,474
San José Department,≤100
Soriano Department,101
Tacuarembó Department,154
Treinta y Tres Department,≤100
Unknown,≤100
