Location name,Amount spent (COP)
Amazonas,1886
Antioquia,10864072
Arauca,30010
Atlantico,899324
Bolivar,678648
Boyaca,1161086
Caldas,742184
Caqueta,293711
Casanare,316130
Cauca,1038505
Cesar,277610
Choco,149355
Cordoba,605081
Cundinamarca,1070536
Distrito Especial,6117184
Guainia,52090
Guaviare,19343
Huila,622976
La Guajira,70999
Magdalena,213337
Meta,613346
Narino,308503
Norte de Santander,944149
Putumayo,228034
Quindio,108622
Risaralda,968026
San Andres y Providencia,14093
Santander,1087682
Sucre,249949
Tolima,758842
Unknown,726
Valle del Cauca,4301385
Vaupes,1096
Vichada,2264
