Location name,Amount spent (EUR)
Alsace,566
Aquitaine,885
Auvergne,283
Basse-Normandie,348
Bourgogne,367
Bretagne,800
Centre,639
Champagne-Ardenne,274
Corse,≤100
Franche-Comté,225
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,594
Languedoc-Roussillon,879
Limousin,152
Lorraine,720
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,688
New Caledonia,≤100
Nord-Pas-de-Calais,896
Pays de la Loire,942
Picardie,382
Poitou-Charentes,393
Provence-Alpes-Côte d'Azur,1568
Reunion Island,≤100
Rhône-Alpes,1537
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2717
