Location name,Amount spent (EUR)
Alsace,487
Aquitaine,682
Auvergne,195
Basse-Normandie,244
Bourgogne,265
Bretagne,580
Centre,431
Champagne-Ardenne,208
Corse,≤100
Franche-Comté,199
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,401
Languedoc-Roussillon,596
Limousin,112
Lorraine,577
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,531
New Caledonia,≤100
Nord-Pas-de-Calais,656
Pays de la Loire,736
Picardie,273
Poitou-Charentes,293
Provence-Alpes-Côte d'Azur,1237
Reunion Island,≤100
Rhône-Alpes,1226
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2395
