Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,815001
Apure,188677
Aragua,467500
Barinas,250000
Bolívar (state),750000
Capital District,1617871
Carabobo,750196
Cojedes,≤100
Delta Amacuro,≤100
Falcón,312500
Guárico,330000
Lara,790001
Miranda (state),967618
Monagas,287500
Mérida,500196
Nueva Esparta,750000
Portuguesa,250196
Sucre,250196
Trujillo,250000
Táchira,750000
Vargas,250000
Yaracuy,250785
Zulia,2802895
