Location name,Amount spent (ZAR)
Eastern Cape,858
Free State,544
Gauteng,3916
KwaZulu-Natal,1651
Limpopo,886
Mpumalanga,938
North West,637
Northern Cape,373
Unknown,≤100
Western Cape,8182
