Location name,Amount spent (NGN)
Abia State,33354
Adamawa State,10598
Akwa Ibom State,23695
Anambra State,19222
Bauchi State,9788
Bayelsa State,2684
Benué State,9928
Borno State,11936
Cross River State,7098
Delta State,17892
Ebonyi State,4381
Edo State,35440
Ekiti State,4252
Enugu State,13836
Federal Capital Territory,88457
Gombe State,6891
Imo State,8917
Jigawa State,3960
Kaduna State,40300
Kano State,100217
Katsina State,8059
Kebbi State,3433
Kogi State,6523
Kwara State,21353
Lagos State,360535
Nasarawa State,7800
Niger State,9568
Ogun State,9911
Ondo State,8457
Osun State,9963
Oyo State,45670
Plateau State,13410
Rivers State,36667
Sokoto State,10816
Taraba State,4563
Unknown,1787
Yobe State,3155
Zamfara State,2761
