Location name,Amount spent (EUR)
Blagoevgrad Province,793
Burgas Province,1194
Dobrich Province,1199
Gabrovo Province,314
Haskovo Province,441
Kardzhali Province,301
Kyustendil Province,196
Lovech Province,246
Montana Province,210
Pazardzhik Province,629
Pernik Province,300
Pleven Province,1103
Plovdiv Province,1830
Razgrad Province,317
Ruse Province,570
Shumen Province,305
Silistra Province,208
Sliven Province,858
Smolyan Province,182
Sofia City Province,6940
Sofia Province,508
Stara Zagora Province,881
Targovishte Province,242
Unknown,≤100
Varna Province,1676
Veliko Tarnovo Province,576
Vidin Province,153
Vratsa Province,648
Yambol Province,305
