Location name,Amount spent (VND)
An Giang Province,30538
Bà Rịa–Vũng Tàu Province,32712
Bình Dương Province,99680
Bình Phước Province,22466
Bình Thuận Province,23824
Bình Định Province,29865
Bạc Liêu Province,13504
Bắc Giang Province,28324
Bắc Kạn Province,4277
Bắc Ninh Province,61736
Bến Tre Province,21840
Cao Bằng Province,35145
Cà Mau Province,16854
Cần Thơ,44533
Da Nang,61927
Gia Lai Province,28353
Haiphong,57226
Ho Chi Minh City,1639719
Hà Giang Province,8843
Hà Nam Province,11708
Hà Tĩnh Province,17859
Hòa Bình Province,13118
Hưng Yên Province,15573
Hải Dương Province,30649
Hậu Giang Province,5692
Khánh Hòa Province,27139
Kiên Giang Province,23423
Kon Tum Province,9913
Lai Châu Province,3108
Long An Province,28370
Lào Cai Province,12613
Lâm Đồng Province,25082
Lạng Sơn Province,14359
Nam Định Province,40752
Nghệ An Province,67705
Ninh Bình Province,15207
Ninh Thuận Province,9095
Phú Thọ Province,17880
Phú Yên Province,18573
Quảng Bình Province,11713
Quảng Nam Province,29443
Quảng Ngãi Province,21563
Quảng Ninh Province,22271
Quảng Trị Province,14041
Sóc Trăng Province,16689
Sơn La Province,15258
Thanh Hóa Province,40617
Thái Bình Province,25230
Thái Nguyên Province,120887
Thừa Thiên–Huế Province,44466
Tiền Giang Province,27849
Trà Vinh Province,16049
Tuyên Quang Province,11844
Tây Ninh Province,49149
Vĩnh Long Province,12993
Vĩnh Phúc Province,19271
Yên Bái Province,80737
Điện Biên Province,7766
Đắk Lắk Province,34294
Đắk Nông Province,9945
Đồng Nai Province,115793
Đồng Tháp Province,21980
