Location name,Amount spent (COP)
Amazonas,1461
Antioquia,1554887
Arauca,9406
Atlantico,171325
Bolivar,165871
Boyaca,34105
Caldas,27790
Caqueta,90189
Casanare,11703
Cauca,76247
Cesar,108566
Choco,17515
Cordoba,133672
Cundinamarca,200471
Distrito Especial,1255323
Guainia,848
Guaviare,2181
Huila,94276
La Guajira,51214
Magdalena,86619
Meta,55895
Narino,45805
Norte de Santander,70926
Putumayo,21979
Quindio,30708
Risaralda,292750
San Andres y Providencia,4186
Santander,95074
Sucre,44359
Tolima,149071
Unknown,≤100
Valle del Cauca,373560
Vaupes,378
Vichada,777
