Location name,Amount spent (JPY)
Aichi Prefecture,51149
Akita Prefecture,1577
Aomori Prefecture,2544
Chiba Prefecture,16286
Ehime Prefecture,2845
Fukui Prefecture,1607
Fukuoka Prefecture,58172
Fukushima Prefecture,2792
Gifu Prefecture,3554
Gunma Prefecture,3174
Hiroshima Prefecture,5974
Hokkaido,10633
Hyōgo Prefecture,29700
Ibaraki Prefecture,5582
Ishikawa Prefecture,2396
Iwate Prefecture,1951
Kagawa Prefecture,2054
Kagoshima Prefecture,2337
Kanagawa Prefecture,43383
Kumamoto Prefecture,4971
Kyoto Prefecture,18023
Kōchi Prefecture,1172
Mie Prefecture,4254
Miyagi Prefecture,10600
Miyazaki Prefecture,1987
Nagano Prefecture,5093
Nagasaki Prefecture,5209
Nara Prefecture,6372
Niigata Prefecture,3627
Okayama Prefecture,4170
Okinawa Prefecture,6237
Osaka Prefecture,67288
Saga Prefecture,17285
Saitama Prefecture,14795
Shiga Prefecture,5978
Shimane Prefecture,3706
Shizuoka Prefecture,9256
Tochigi Prefecture,3404
Tokushima Prefecture,1335
Tokyo,102818
Tottori Prefecture,871
Toyama Prefecture,1786
Unknown,≤100
Wakayama Prefecture,4305
Yamagata Prefecture,1649
Yamaguchi Prefecture,2607
Yamanashi Prefecture,1703
Ōita Prefecture,4653
