Location name,Amount spent (EUR)
Alsace,477
Aquitaine,1081
Auvergne,324
Basse-Normandie,348
Bourgogne,401
Bretagne,893
Centre,641
Champagne-Ardenne,351
Corse,≤100
Franche-Comté,279
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,496
Languedoc-Roussillon,1019
Limousin,172
Lorraine,686
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,910
New Caledonia,≤100
Nord-Pas-de-Calais,1343
Pays de la Loire,1153
Picardie,540
Poitou-Charentes,490
Provence-Alpes-Côte d'Azur,2135
Reunion Island,≤100
Rhône-Alpes,1960
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4091
